AudioLoudness,VocalContent,InstrumentalScore,TrackDurationMs,MoodScore,LivePerformanceLikelihood,RhythmScore,BeatsPerMinute,AcousticQuality
-5.687897044,0.079869705,0.192612938,166697.1305,0.437840938,0.303545979,0.38300383,112.3121146,0.181290281
-6.778119318,0.054574332,1.07e-06,111944.3086,0.949942824,0.330090232,0.727067836,93.72708067,5.36e-06
-11.36684725,0.0235,0.020147227,167522.557,0.778895381,0.148682419,0.547428682,137.7699664,0.484300506
-6.228494199,0.085144263,0.023415106,249870.7937,0.294622507,0.285731999,0.61441839,113.3282513,0.904206635
-2.57306522,0.028275859,0.024728115,258122.2812,0.539254467,0.234261158,0.637771141,103.2527728,0.280743766
-3.014992096,0.043203065,0.240814706,233676.0744,0.665286348,0.0243,0.354923779,123.5110631,0.511703057
-10.68252321,0.025559168,1.07e-06,261084.1038,0.494673113,0.0243,0.93614367,76.43087189,0.063927241
-10.95577053,0.072458612,0.393286002,152289.9289,0.741269777,0.266290117,0.424528656,98.89685482,0.207547283
-4.585188628,0.127405753,0.2324965,128305.4721,0.0256,0.436121305,0.493709461,65.76753587,0.19829817
-10.39521358,0.0235,0.084693766,224802.5804,0.51974343,0.10094133,0.857578826,118.4450077,0.406527034
-1.357,0.065022294,0.235930723,214449.979,0.978,0.0243,0.876835387,114.9394337,0.33755148
-10.45816037,0.112701101,0.421595805,166417.9374,0.611566962,0.230321366,0.739068714,115.3552035,5.36e-06
-1.486356443,0.108646299,0.335826666,299439.6835,0.79731086,0.0243,0.681975048,137.9215632,0.496703061
-10.40177833,0.224343047,1.07e-06,173909.712,0.715829461,0.141597928,0.618940064,118.3890485,0.216081795
-13.70931786,0.066114711,0.011350707,316094.37,0.513388389,0.176233827,0.578405276,129.7300173,0.312943461
-2.69838645,0.206964497,1.07e-06,166849.6807,0.483645387,0.163474546,0.553159404,142.5499877,5.36e-06
-5.125401805,0.06364182,0.073134524,226882.6362,0.956326856,0.053796642,0.723879805,118.6485619,0.647131652
-1.357,0.117757026,1.07e-06,233099.2981,0.330662485,0.026001483,0.515623764,171.6807538,5.36e-06
-10.63067799,0.094052698,0.078583328,63973.0,0.714503856,0.237907627,0.732982849,142.1575049,0.362571124
-5.25043099,0.124493905,0.17317774,226501.7162,0.558832555,0.0243,0.452326778,127.6138446,0.029167807
-5.535198142,0.161006421,0.18786813,274913.8273,0.708526518,0.217583514,0.715505381,114.8919823,5.36e-06
-6.04392645,0.0482296,1.07e-06,348525.8359,0.670995257,0.419086921,0.579025392,59.71550748,0.170802983
-9.590380964,0.093087585,0.336242124,305937.645,0.404140038,0.136842331,0.526253663,118.3842296,0.253653145
-13.81027604,0.0235,0.481603586,260221.3496,0.408373448,0.0243,0.14398214,119.2200947,0.92061178
-11.60123589,0.0235,0.37783354,235287.6149,0.101159082,0.16759197,0.636202333,69.13588338,0.154142077
-9.73760145,0.0235,1.07e-06,327271.7017,0.576097882,0.152285134,0.610426498,123.3527431,0.392549006
-6.945575908,0.0235,0.38460348,160355.4429,0.330998778,0.038656569,0.529967912,102.8808472,5.36e-06
-1.357,0.187973162,1.07e-06,377019.8559,0.663286273,0.0243,0.083094679,82.36044594,0.409174895
-1.357,0.218207487,1.07e-06,354251.5067,0.839317363,0.193363865,0.489925598,117.0700978,0.340309948
-5.697516022,0.057090808,1.07e-06,287165.9614,0.244048928,0.301497119,0.57778954,174.2488345,0.221416038
-6.379676998,0.137201647,0.126120772,173587.1734,0.663687825,0.286928015,0.614482609,109.4322949,0.153553999
-10.24862741,0.077508511,0.130257747,136485.8186,0.901043469,0.207177223,0.779795956,143.994164,0.629829379
-1.357,0.0235,0.58006828,239633.8619,0.793076098,0.124676626,0.433420157,133.1182531,0.052104188
-11.45242268,0.0235,0.09725914,188021.831,0.651665451,0.18860799,0.642324339,121.8941854,5.36e-06
-8.955149459,0.0235,0.016143366,247268.6531,0.361692468,0.296585207,0.662767187,106.1762768,0.430668344
-5.259243442,0.052704311,1.07e-06,219910.6573,0.276822323,0.084951287,0.412630666,121.4782959,0.081952559
-4.752134581,0.0235,1.07e-06,353439.8237,0.494094339,0.054424038,0.881263841,84.97857448,0.328882604
-4.697621367,0.038098429,1.07e-06,285054.9627,0.342693647,0.084884113,0.574888321,145.7962178,0.67460917
