AudioLoudness,VocalContent,InstrumentalScore,TrackDurationMs,Energy
-10.81459563,0.0235,0.0986294,292661.5537,0.177866667
-12.77258705,0.155670996,1.07e-06,348415.9151,0.9482
-11.22315447,0.134087817,1.07e-06,214484.1576,0.2698
-8.21358866,0.055899652,1.07e-06,272111.8715,0.275933333
-1.357,0.056777162,0.091629534,240092.1259,0.6284
-9.17692256,0.058959041,0.049237049,225756.7196,0.1124
-12.32715622,0.188356888,1.07e-06,287685.7102,0.517933333
-4.263241208,0.08888249,0.151420579,283539.5584,0.868733333
-1.357,0.072786682,0.016605199,324957.3595,0.515333333
-13.4490772,0.091680543,1.07e-06,194662.5146,0.785866667
-4.841809957,0.059435712,0.08012033,147118.7108,0.305266667
-9.541318402,0.091554243,0.338863817,300019.2662,0.105733333
-5.418219873,0.086319071,1.07e-06,299405.6051,0.858933333
-6.827523829,0.099646458,0.323977593,171892.2758,0.183466667
-3.823711644,0.102610706,1.07e-06,259839.0193,0.9782
-1.620674868,0.0235,0.210971563,314473.0826,0.302866667
-10.72946921,0.23045811,0.156527301,112927.5537,0.766866667
-7.430079113,0.082504588,1.07e-06,155476.2327,0.782533333
-13.8396234,0.0235,1.07e-06,303212.4704,0.686466667
-11.85026944,0.0235,0.162772211,265045.6017,0.9548
-6.161450868,0.0235,0.451878866,210002.4025,0.693333333
-11.41500659,0.0235,1.07e-06,88161.05101,0.811733333
-12.84749672,0.0235,0.044923216,168907.0928,0.010333333
-12.60098654,0.0235,0.220644867,338896.0894,0.665666667
-8.561443096,0.189516874,0.037644014,160461.4122,0.3976
-5.570579714,0.067797984,0.067048909,298514.9007,0.3734
-6.56016797,0.0235,0.107116672,200350.8916,0.326466667
-5.94273037,0.0235,0.026281885,225968.0071,0.272133333
-9.90529828,0.113221571,0.188652293,321860.1728,0.656466667
-14.7432827,0.0235,0.403050386,356149.844,0.2764
-10.97082584,0.12257939,0.161922832,196805.0829,0.6256
-6.113793342,0.124602015,1.07e-06,227965.5611,0.911466667
-16.3537321,0.087696112,0.097326144,214699.6894,0.6348
-11.67800225,0.093981053,0.162505775,327807.9127,0.7072
-9.687645354,0.08466114,0.240246199,212648.2547,0.4742
-2.524507657,0.043447568,1.07e-06,171508.2509,0.905
-3.314872117,0.136681705,1.07e-06,245965.0514,0.859866667
-4.334444326,0.132416492,1.07e-06,306329.1789,0.609333333
-1.389812032,0.211215358,0.075590823,244208.1171,0.236933333
-2.949581971,0.137108035,1.07e-06,289361.6873,0.3702
-11.0852682,0.097394102,1.07e-06,201692.647,0.449933333
-14.41375045,0.0235,0.126105228,250518.0504,0.9634
-15.32095913,0.083917608,0.332657787,218827.8874,0.126266667
-10.20334572,0.0235,1.07e-06,265288.3149,0.755733333
-7.522096684,0.0235,1.07e-06,259064.6655,0.405066667
-11.71529137,0.174505685,0.191343961,274842.0829,0.168666667
-9.263653704,0.199340503,0.342987922,191540.7278,0.404333333
-1.989088815,0.041990345,1.07e-06,384788.5039,0.460866667
-9.159261787,0.0235,1.07e-06,278397.0272,0.512666667
-7.803756393,0.108776646,0.335248643,239183.3871,0.579066667
-10.95613945,0.0235,0.247213516,265096.5412,0.173066667
-9.312715221,0.101154728,0.145472497,221592.5604,0.928533333
-6.277576428,0.123797658,1.07e-06,254459.4559,0.864133333
-8.23536105,0.0235,0.537046075,139724.2608,0.4862
-11.67627031,0.0235,1.07e-06,146148.0358,0.314466667
-13.2237157,0.078555905,1.07e-06,291221.7165,0.7634
-8.043870808,0.1406394,1.07e-06,193370.7673,0.736733333
-1.357,0.0235,1.07e-06,165642.2969,0.539
-10.14108063,0.0235,0.438592161,126360.8619,0.222933333
-6.701904502,0.081852416,0.199504975,272579.8952,0.2802
-1.794410072,0.0235,0.161616242,243017.8782,0.5056
-8.900460147,0.0235,0.030008182,245530.3084,0.782133333
-3.666267727,0.120568479,1.07e-06,182989.6694,0.5884
-12.84282108,0.0235,0.211703911,358719.6263,0.922933333
-4.245947673,0.067406744,1.07e-06,329849.52,0.709733333
-6.09069974,0.134900756,1.07e-06,250892.4436,0.578666667
-5.63477735,0.157668981,1.07e-06,258155.5993,0.3
-1.357,0.116403565,1.07e-06,127312.4196,0.9884
-10.58699754,0.0235,0.402293156,229912.8485,0.196066667
-11.14302652,0.047834243,1.07e-06,371555.0815,0.7404
-1.357,0.201994064,0.116376791,385272.4226,0.4958
-8.001709853,0.0235,0.293598609,426937.0949,0.296533333
-7.977909253,0.161938786,1.07e-06,304472.0008,0.205666667
-4.468884715,0.039656184,0.043397595,305292.8308,0.320533333
-12.71902574,0.255715595,0.270354498,108348.2968,0.8476
-14.5662131,0.0235,0.199484511,322598.0291,0.2344
-4.497282536,0.027556667,0.220530386,205331.5091,0.243066667
-3.086027843,0.09915606,0.258629471,111037.1104,0.6574
-8.089791287,0.059912543,0.221059316,261629.6631,0.399666667
-6.303991744,0.107600536,0.339873181,212826.5191,0.985133333
-1.588456795,0.107141473,0.042072299,236205.1064,0.208
-8.596614678,0.0235,1.07e-06,160775.4159,0.337466667
-14.2353918,0.083578944,0.148709093,157949.2015,0.081466667
-8.406152309,0.096272958,0.03506893,266964.7299,0.024466667
-8.854925134,0.117495196,0.373122765,183073.0301,0.1594
-7.638921673,0.10203192,1.07e-06,279748.3362,0.2378
-8.904155393,0.084988473,1.07e-06,217152.1749,0.046466667
-10.14018938,0.185255324,0.10751299,205123.168,0.263666667
-2.504619427,0.196359907,0.209116786,142616.8227,0.679333333
-8.09958523,0.041732802,0.359537565,261703.5569,0.012133333
-16.69084729,0.108132653,1.07e-06,274588.7801,0.472866667
-7.304996745,0.0235,1.07e-06,216939.9197,0.6282
-12.59668297,0.0235,0.068277018,192186.5991,0.0468
-11.20199591,0.029384687,0.263194055,176420.3708,0.133066667
-6.32901498,0.211562761,1.07e-06,144891.9017,0.383066667
-8.18207909,0.046519228,0.289252948,317968.1638,0.952533333
-7.729648847,0.057985725,0.372037588,224095.4879,0.7286
-4.096092951,0.0235,1.07e-06,289230.1082,0.492333333
-8.782391243,0.093012163,0.011139407,269165.0703,0.4442
-12.91656631,0.200683364,1.07e-06,328584.6467,0.9058
-10.71558368,0.0235,0.191728503,180003.535,0.087066667
-2.254764582,0.14875135,0.353965816,288052.7664,0.875466667
-5.4725512,0.061075695,0.008655605,123845.8479,0.690133333
-6.514527622,0.084801584,0.193668381,227549.1617,0.890733333
-1.357,0.051448261,0.143135626,301927.3712,0.493
-1.66382027,0.024340277,0.075219178,229080.4818,0.586466667
-1.357,0.203983427,1.07e-06,194270.5481,0.895733333
-2.039387171,0.057137552,0.405339732,230196.5177,0.258133333
-5.448331455,0.136617296,0.177751707,266004.7767,0.098533333
-4.890100102,0.0235,1.07e-06,158872.1197,0.443066667
-2.50523662,0.119212708,0.31510323,333753.2419,0.325
-13.09148316,0.05754758,1.07e-06,176941.8034,0.534066667
-4.77370342,0.0235,1.07e-06,204436.3814,0.662933333
-3.12700701,0.029045903,0.317530603,244418.7034,0.8002
-10.08148944,0.0235,0.225144335,126214.6192,0.7386
-3.107418539,0.201837726,0.153905239,188003.9797,0.757
-7.610968881,0.052689927,1.07e-06,213869.7831,0.6492
-7.54458846,0.0235,1.07e-06,177696.5354,0.2846
-11.22232053,0.077112001,0.103549963,211062.1517,0.008266667
-1.357,0.055186067,1.07e-06,306107.6366,0.597466667
-1.822734366,0.125658297,0.281944401,170606.8746,0.503666667
-13.9101641,0.140261711,1.07e-06,226287.6337,0.3014
-6.395082437,0.0235,0.375579437,308488.5263,0.482933333
-12.06920511,0.0235,0.024653878,190351.6285,0.383133333
-11.53012663,0.146973851,0.380701592,82653.85016,0.6026
-8.620453453,0.079978627,0.243058963,278102.6545,0.2612
-9.425791992,0.050250618,0.26698661,164276.2448,0.467666667
-8.980534786,0.080867103,0.076382723,352466.2885,0.4542
-12.52418336,0.035713139,0.316349968,194750.9561,0.118266667
-6.31663649,0.10946773,0.319852589,214942.8039,0.626333333
-1.357,0.0235,1.07e-06,242903.0645,0.4076
-15.73366707,0.132128351,0.002155072,300729.1116,0.4864
-1.357,0.127434668,0.215019621,288241.9971,0.391933333
-12.0848304,0.042197338,0.299834282,225023.7078,0.810266667
-7.692289619,0.0235,0.618655958,213240.9012,0.495533333
-1.914148892,0.110691753,0.127429289,256073.4693,0.428333333
-18.39292942,0.062181138,0.377258133,221942.3658,0.8722
-1.357,0.039180636,0.045498137,217929.5234,0.224866667
-5.815952719,0.07356593,0.420537827,305073.9438,0.6626
-12.22306307,0.143933937,1.07e-06,276967.1136,0.564666667
-7.966290579,0.115391573,0.069408651,296461.6104,0.146533333
-12.99949061,0.09124771,1.07e-06,241632.4625,0.306866667
-10.99149191,0.0235,1.07e-06,242755.1629,0.9808
-11.91515126,0.07428995,1.07e-06,409078.1701,0.0288
-14.32216538,0.145869699,0.68183833,63973.0,0.733333333
-16.6899098,0.087528872,0.05450136,141230.3647,0.441
-8.44149528,0.0235,0.359113424,249414.8284,0.814333333
-2.455714586,0.0235,1.07e-06,240439.6757,0.953666667
-15.82367068,0.15116105,1.07e-06,239073.8975,0.0032
-6.197654959,0.124437051,0.017204823,159775.2015,0.957333333
