RhythmScore,AudioLoudness,VocalContent,AcousticQuality,InstrumentalScore,LivePerformanceLikelihood,MoodScore,TrackDurationMs,Energy,BeatsPerMinute
0.584815543,-15.99162753,0.056042529,0.418276755,0.47727983,0.0243,0.619044086,279325.4685,0.511133333,132.5347841
0.406815926,-6.029261506,0.0235,5.36e-06,1.07e-06,0.308989657,0.591542021,203695.1029,0.4938,145.0840126
0.538894174,-11.90910564,0.20955599,5.36e-06,0.079518363,0.12592682,0.267221399,233516.7233,0.4896,157.9401702
0.571507415,-9.424091469,0.0235,0.150354447,0.099126973,0.080711011,0.211108577,176749.6545,0.275266667,115.3283165
0.528156065,-6.194434506,0.14929371,0.620904162,0.34032642,0.246996885,0.648614676,315486.7292,0.156333333,100.9144197
0.700972979,-7.528728153,0.082843002,0.079084407,0.520787935,0.216227258,0.620267358,254289.4002,0.106866667,104.9014281
0.586423042,-6.184397126,0.143621796,5.36e-06,0.138290714,0.040925377,0.762089763,321881.4706,0.611133333,128.4704952
0.805886748,-2.279876199,0.0235,0.286986682,1.07e-06,0.210007192,0.403898397,219405.9986,0.481066667,92.19830089
0.74956098,-14.22819708,0.062157288,0.583305105,1.07e-06,0.107725343,0.173309891,230921.6519,0.0586,142.0702138
0.557740413,-13.21377796,0.0235,0.153602637,0.105259696,0.172030708,0.695010774,241323.012,0.431466667,107.5854317
0.356096491,-7.873872814,0.179202045,0.173352184,1.07e-06,0.0243,0.474600927,325817.6329,0.8656,83.33467646
0.859791016,-1.357,0.0235,0.372160694,0.529232947,0.311597847,0.717518451,208295.8896,0.903133333,104.7822033
0.853726975,-5.304054274,0.101027902,5.36e-06,1.07e-06,0.102996597,0.361191537,154894.8354,0.691733333,153.4259221
0.589521157,-15.10469933,0.149707961,5.36e-06,0.190905994,0.391697411,0.587659497,212135.967,0.518866667,108.8745969
0.664475296,-13.309243,0.14239726,0.463912291,1.07e-06,0.276737633,0.821066742,205796.1186,0.0064,128.9773045
0.543608989,-6.218005882,0.070684785,0.258887002,0.023586751,0.0243,0.689752827,117481.5715,0.579,134.9403254
0.635067621,-10.51873667,0.239250471,0.369891977,0.00064287,0.194569867,0.555745545,230009.3083,0.0638,143.7365221
0.391414328,-5.789870404,0.228928066,0.2012151,0.409911956,0.165496175,0.061243412,262892.9989,0.9344,109.133365
0.579577439,-11.56094698,0.0235,0.246668798,0.490586111,0.222584652,0.0256,212430.4724,0.968333333,105.0856304
0.727455492,-4.186503374,0.143945942,0.100440096,1.07e-06,0.087001321,0.282788277,303014.5059,0.535266667,89.07091196
0.495268987,-11.96196382,0.105775659,5.36e-06,0.238925848,0.319040833,0.534099669,93841.22997,0.505,86.29852458
0.611972455,-5.303844921,0.130735551,0.264593989,0.242784698,0.062999665,0.528462083,273081.4543,0.507533333,66.70989191
0.171856838,-12.14813518,0.0235,0.354588643,1.07e-06,0.064529262,0.105047166,316838.8599,0.8456,116.6726611
0.442838225,-15.08580483,0.076468894,0.327820363,0.142540824,0.340095534,0.451836946,196788.5145,0.167466667,116.699858
0.498039257,-15.16459587,0.039554946,0.274344462,0.437470873,0.0243,0.450691104,240866.5914,0.730133333,146.1477157
0.509491713,-8.959662857,0.0235,5.36e-06,1.07e-06,0.251665196,0.978,293788.3334,0.715866667,135.7309972
0.731139384,-11.10388081,0.0235,0.30867003,0.291788262,0.149930554,0.643023823,247207.9962,0.081533333,125.1914648
0.179572122,-1.357,0.141658989,0.281153486,0.220244744,0.274769476,0.4626039,210268.2482,0.6438,143.1861425
